city,datetime,aqi,pm25,pm10,co,no2,o3,so2
Warangal,2026-02-12 18:31:07.273069,,52.9,55.3,377.0,8.9,141.0,15.4
Nellore,2026-02-12 18:31:09.229818,,21.1,24.9,288.0,2.1,111.0,5.0
Kurnool,2026-02-12 18:31:11.124497,,24.8,26.1,262.0,3.4,126.0,8.1
Hubballi,2026-02-12 18:31:13.989389,,20.9,21.7,246.0,7.7,137.0,7.4
Mangaluru,2026-02-12 18:31:16.807951,,32.0,35.6,250.0,3.5,154.0,4.6
Belagavi,2026-02-12 18:31:18.960317,,18.6,19.6,265.0,8.2,126.0,5.1
Tirupati,2026-02-12 18:31:21.928602,,18.6,20.6,267.0,5.3,101.0,3.1
Pondicherry,2026-02-12 18:31:24.586181,,21.0,26.0,257.0,2.8,112.0,2.7
Delhi,2026-02-12 18:30:16.389680,,39.0,41.7,647.0,24.8,98.0,21.7
Mumbai,2026-02-12 18:30:18.666274,,66.8,68.7,524.0,27.0,265.0,28.1
Kolkata,2026-02-12 18:30:21.605260,,71.5,78.2,775.0,28.3,119.0,29.6
Chennai,2026-02-12 18:30:23.760100,,19.6,24.4,278.0,5.2,101.0,3.5
Bengaluru,2026-02-12 18:30:26.114443,,16.7,17.5,499.0,14.4,90.0,4.6
Hyderabad,2026-02-12 18:30:28.787089,,29.6,30.7,496.0,9.6,135.0,12.3
Pune,2026-02-12 18:30:31.359010,,28.4,29.5,350.0,9.8,140.0,7.4
Ahmedabad,2026-02-12 18:30:33.183755,,52.2,53.6,389.0,17.3,125.0,17.8
Jaipur,2026-02-12 18:30:35.843903,,31.7,40.4,416.0,9.8,131.0,8.9
Lucknow,2026-02-12 18:30:37.689858,,37.1,41.8,397.0,12.4,99.0,13.7
Chandigarh,2026-02-12 18:30:41.067125,,48.3,49.9,770.0,15.9,119.0,21.9
Bhopal,2026-02-12 18:30:44.240118,,51.5,53.0,409.0,5.8,112.0,9.3
Indore,2026-02-12 18:30:46.492488,,55.4,56.7,474.0,11.1,122.0,11.8
Nagpur,2026-02-12 18:30:49.252744,,60.3,61.9,429.0,22.6,146.0,43.5
Surat,2026-02-12 18:30:54.386606,,94.5,95.2,525.0,98.8,65.0,141.8
Patna,2026-02-12 18:30:57.032565,,71.2,76.6,502.0,15.7,117.0,19.3
Ranchi,2026-02-12 18:31:00.627678,,28.6,34.2,239.0,5.0,117.0,8.7
Guwahati,2026-02-12 18:31:06.057239,,33.5,36.0,701.0,9.2,100.0,4.5
Dehradun,2026-02-12 18:31:08.806288,,41.4,43.5,540.0,14.9,129.0,19.6
Shimla,2026-02-12 18:31:10.965731,,33.4,36.6,410.0,11.9,130.0,16.7
Srinagar,2026-02-12 18:31:13.624259,,53.4,61.2,1821.0,33.0,133.0,16.1
Varanasi,2026-02-12 18:31:17.427716,,47.6,54.1,574.0,13.0,105.0,13.7
Kanpur,2026-02-12 18:31:19.360207,,39.0,46.7,432.0,16.2,97.0,12.9
Amritsar,2026-02-12 18:31:21.722834,,56.9,60.1,972.0,29.7,94.0,13.9
Ludhiana,2026-02-12 18:31:23.879515,,64.5,65.4,647.0,24.7,67.0,9.8
Coimbatore,2026-02-12 18:31:26.842902,,18.7,20.5,281.0,8.2,121.0,5.4
Madurai,2026-02-12 18:31:29.187311,,25.5,27.5,247.0,8.9,108.0,6.3
Visakhapatnam,2026-02-12 18:31:31.549410,,42.7,45.2,534.0,24.9,125.0,14.7
Vijayawada,2026-02-12 18:31:34.733202,,43.7,44.8,291.0,6.1,126.0,12.9
Raipur,2026-02-12 18:31:37.383327,,73.1,75.2,537.0,26.0,107.0,28.2
Bhubaneswar,2026-02-12 18:31:40.660799,,68.0,70.3,574.0,15.4,131.0,19.4
Thiruvananthapuram,2026-02-12 18:31:42.798284,,35.0,39.2,285.0,3.0,170.0,5.7
Kochi,2026-02-12 18:31:44.962582,,36.3,38.0,256.0,9.3,150.0,5.1
Mysuru,2026-02-12 18:31:48.139151,,14.4,15.5,232.0,8.0,109.0,3.5
Jodhpur,2026-02-12 18:31:50.494507,,26.5,32.9,334.0,6.8,121.0,6.1
Udaipur,2026-02-12 18:31:53.359794,,38.8,40.9,333.0,4.1,131.0,10.4
Gwalior,2026-02-12 18:31:55.613470,,31.9,45.9,374.0,8.0,100.0,8.5
Jabalpur,2026-02-12 18:31:57.973812,,44.6,46.4,318.0,7.8,106.0,8.4
Agra,2026-02-12 18:32:01.303987,,51.5,59.8,464.0,27.1,90.0,17.6
Meerut,2026-02-12 18:32:03.913934,,35.9,38.3,456.0,19.5,104.0,21.0
Noida,2026-02-12 18:32:05.838171,,40.4,42.8,702.0,29.8,94.0,21.2
Gurugram,2026-02-12 18:32:08.412424,,40.4,42.8,1138.0,29.8,94.0,21.2
Faridabad,2026-02-12 18:32:10.562037,,40.4,42.8,738.0,29.8,94.0,21.2
Ghaziabad,2026-02-12 18:32:12.814873,,35.9,38.3,642.0,19.5,104.0,21.0
Panipat,2026-02-12 18:32:15.168520,,40.7,74.5,626.0,14.6,84.0,11.3
Sonipat,2026-02-12 18:32:17.053818,,39.0,41.7,593.0,24.8,98.0,21.7
Hisar,2026-02-12 18:32:19.426281,,37.0,38.4,464.0,16.4,78.0,5.6
Rohtak,2026-02-12 18:32:23.374089,,36.9,38.5,701.0,16.3,86.0,6.7
Bareilly,2026-02-12 18:32:25.785341,,28.9,30.6,344.0,8.6,113.0,11.6
Aligarh,2026-02-12 18:32:27.873202,,35.2,38.4,490.0,13.5,124.0,19.1
Moradabad,2026-02-12 18:32:29.733231,,32.2,33.5,432.0,10.8,105.0,12.2
Prayagraj,2026-02-12 18:32:31.970108,,35.9,41.3,451.0,9.3,98.0,10.8
Gorakhpur,2026-02-12 18:32:34.832229,,36.8,39.5,286.0,8.4,114.0,12.1
